match_no,innings,ball_bowled,total_runs,total_wickets,target,required_runs,balls_remaining,run_rate,required_run_rate,wickets_remaining,result
1,1,1,0,0,158,158,119,0.0,7.966386554621849,10,1
1,1,2,0,0,158,158,118,0.0,8.033898305084746,10,1
1,1,3,0,0,158,158,117,0.0,8.102564102564102,10,1
1,1,4,0,0,158,158,116,0.0,8.172413793103448,10,1
1,1,5,1,0,158,157,115,1.2,8.191304347826087,10,1
1,1,6,1,0,158,157,114,1.0,8.263157894736842,10,1
1,1,7,1,0,158,157,113,0.8571428571428571,8.336283185840708,10,1
1,1,8,1,0,158,157,112,0.75,8.410714285714285,10,1
1,1,9,5,0,158,153,111,3.3333333333333335,8.27027027027027,10,1
1,1,10,11,0,158,147,110,6.6,8.01818181818182,10,1
1,1,11,15,0,158,143,109,8.181818181818182,7.871559633027522,10,1
1,1,12,16,0,158,142,108,8.0,7.888888888888889,10,1
1,1,13,20,0,158,138,107,9.230769230769232,7.738317757009346,10,1
1,1,14,20,1,158,138,106,8.571428571428571,7.811320754716981,9,1
1,1,15,20,1,158,138,105,8.0,7.885714285714286,9,1
1,1,16,24,1,158,134,104,9.0,7.730769230769232,9,1
1,1,17,25,1,158,133,103,8.823529411764705,7.74757281553398,9,1
1,1,18,25,1,158,133,102,8.333333333333334,7.823529411764706,9,1
1,1,19,29,1,158,129,101,9.157894736842106,7.663366336633664,9,1
1,1,20,33,1,158,125,100,9.9,7.499999999999999,9,1
1,1,21,34,1,158,124,99,9.714285714285714,7.515151515151516,9,1
1,1,21,34,1,158,124,99,9.714285714285714,7.515151515151516,9,1
1,1,22,38,1,158,120,98,10.363636363636363,7.346938775510204,9,1
1,1,23,38,1,158,120,97,9.91304347826087,7.422680412371133,9,1
1,1,24,38,1,158,120,96,9.5,7.5,9,1
1,1,25,38,1,158,120,95,9.12,7.578947368421052,9,1
1,1,26,38,2,158,120,94,8.76923076923077,7.659574468085107,8,1
1,1,27,38,2,158,120,93,8.444444444444445,7.741935483870968,8,1
1,1,28,38,2,158,120,92,8.142857142857142,7.826086956521739,8,1
1,1,29,39,2,158,119,91,8.068965517241379,7.846153846153847,8,1
1,1,30,43,2,158,115,90,8.6,7.666666666666667,8,1
1,1,31,44,2,158,114,89,8.516129032258064,7.685393258426966,8,1
1,1,32,46,2,158,112,88,8.625,7.636363636363637,8,1
1,1,33,50,2,158,108,87,9.090909090909092,7.448275862068965,8,1
1,1,34,51,2,158,107,86,9.0,7.465116279069767,8,1
1,1,35,52,2,158,106,85,8.914285714285715,7.482352941176471,8,1
1,1,36,53,2,158,105,84,8.833333333333334,7.5,8,1
1,1,37,53,3,158,105,83,8.594594594594595,7.590361445783132,7,1
1,1,38,53,3,158,105,82,8.368421052631579,7.682926829268293,7,1
1,1,39,54,3,158,104,81,8.307692307692308,7.703703703703703,7,1
1,1,40,56,3,158,102,80,8.4,7.6499999999999995,7,1
1,1,41,56,3,158,102,79,8.195121951219512,7.746835443037975,7,1
1,1,42,57,3,158,101,78,8.142857142857142,7.769230769230769,7,1
1,1,43,58,3,158,100,77,8.093023255813954,7.792207792207792,7,1
1,1,44,59,3,158,99,76,8.045454545454545,7.815789473684211,7,1
1,1,45,60,3,158,98,75,8.0,7.84,7,1
1,1,46,61,3,158,97,74,7.956521739130435,7.864864864864865,7,1
1,1,47,62,4,158,96,73,7.914893617021277,7.89041095890411,6,1
1,1,48,63,4,158,95,72,7.875,7.916666666666667,6,1
1,1,49,64,4,158,94,71,7.836734693877552,7.943661971830985,6,1
1,1,50,64,4,158,94,70,7.68,8.057142857142857,6,1
1,1,51,64,4,158,94,69,7.529411764705882,8.173913043478262,6,1
1,1,52,65,4,158,93,68,7.500000000000001,8.205882352941176,6,1
1,1,53,69,4,158,89,67,7.811320754716981,7.970149253731344,6,1
1,1,54,71,4,158,87,66,7.888888888888889,7.909090909090909,6,1
1,1,55,75,4,158,83,65,8.181818181818182,7.661538461538461,6,1
1,1,56,75,4,158,83,64,8.035714285714285,7.78125,6,1
1,1,57,75,4,158,83,63,7.894736842105263,7.904761904761905,6,1
1,1,58,75,4,158,83,62,7.758620689655173,8.032258064516128,6,1
1,1,59,76,4,158,82,61,7.728813559322034,8.065573770491804,6,1
1,1,60,77,4,158,81,60,7.7,8.1,6,1
1,1,61,78,4,158,80,59,7.672131147540984,8.135593220338983,6,1
1,1,62,78,4,158,80,58,7.548387096774193,8.275862068965518,6,1
1,1,63,79,4,158,79,57,7.523809523809524,8.31578947368421,6,1
1,1,64,80,4,158,78,56,7.5,8.357142857142856,6,1
1,1,65,82,4,158,76,55,7.569230769230769,8.290909090909091,6,1
1,1,66,83,4,158,75,54,7.545454545454546,8.333333333333334,6,1
1,1,66,84,4,158,74,54,7.636363636363637,8.222222222222221,6,1
1,1,67,86,4,158,72,53,7.701492537313433,8.150943396226415,6,1
1,1,68,87,4,158,71,52,7.6764705882352935,8.192307692307693,6,1
1,1,69,87,4,158,71,51,7.565217391304348,8.352941176470589,6,1
1,1,70,88,4,158,70,50,7.542857142857144,8.399999999999999,6,1
1,1,70,90,4,158,68,50,7.714285714285714,8.16,6,1
1,1,71,90,4,158,68,49,7.605633802816901,8.326530612244898,6,1
1,1,72,92,4,158,66,48,7.666666666666667,8.25,6,1
1,1,73,92,4,158,66,47,7.561643835616438,8.425531914893618,6,1
1,1,74,93,4,158,65,46,7.54054054054054,8.478260869565217,6,1
1,1,75,93,4,158,65,45,7.44,8.666666666666666,6,1
1,1,76,94,4,158,64,44,7.421052631578948,8.727272727272728,6,1
1,1,77,95,4,158,63,43,7.402597402597403,8.790697674418604,6,1
1,1,78,95,4,158,63,42,7.3076923076923075,9.0,6,1
1,1,79,96,4,158,62,41,7.29113924050633,9.073170731707318,6,1
1,1,80,97,4,158,61,40,7.2749999999999995,9.15,6,1
1,1,81,97,4,158,61,39,7.185185185185185,9.384615384615385,6,1
1,1,82,98,4,158,60,38,7.170731707317073,9.473684210526317,6,1
1,1,83,99,4,158,59,37,7.156626506024096,9.567567567567567,6,1
1,1,84,101,4,158,57,36,7.214285714285714,9.5,6,1
1,1,85,101,4,158,57,35,7.129411764705883,9.771428571428572,6,1
1,1,86,107,4,158,51,34,7.465116279069767,9.0,6,1
1,1,87,107,4,158,51,33,7.379310344827586,9.272727272727273,6,1
1,1,88,108,4,158,50,32,7.363636363636364,9.375,6,1
1,1,89,110,4,158,48,31,7.415730337078651,9.29032258064516,6,1
1,1,90,111,4,158,47,30,7.4,9.4,6,1
1,1,91,113,4,158,45,29,7.450549450549451,9.310344827586208,6,1
1,1,91,114,4,158,44,29,7.516483516483516,9.10344827586207,6,1
1,1,92,116,4,158,42,28,7.565217391304348,9.0,6,1
1,1,93,116,4,158,42,27,7.483870967741935,9.333333333333334,6,1
1,1,94,116,4,158,42,26,7.404255319148937,9.692307692307693,6,1
1,1,95,117,4,158,41,25,7.389473684210526,9.84,6,1
1,1,96,123,4,158,35,24,7.6875,8.75,6,1
1,1,97,123,5,158,35,23,7.608247422680412,9.130434782608695,5,1
1,1,98,124,5,158,34,22,7.591836734693878,9.272727272727273,5,1
1,1,99,125,5,158,33,21,7.575757575757576,9.428571428571429,5,1
1,1,100,125,6,158,33,20,7.499999999999999,9.9,4,1
1,1,101,126,6,158,32,19,7.485148514851486,10.105263157894738,4,1
1,1,102,126,6,158,32,18,7.411764705882353,10.666666666666666,4,1
